"Map Symbol","Source","Well Type","Well Type - Name","Hole Direction","Production ID","Entity Type","Primary API","Operator Name","Original Operator Name","Lease Name","Well Num","Location","Field Name","TX Survey","TX Blk","TX Sec","County Name","State","Prod Zone Name","Play Name","Play Type","Lower Perf","Upper Perf","TD","TVD","Status Name","Comp Date","First Prod Date","Last Prod Date","Max IP - Oil","Max IP - Gas","Max IP - Water","Max IP Date - Oil","Max IP Date - Gas","Max IP Date - Water","Oil Mo 2","Gas Mo 2","Wtr Mo 2","Oil Mos 2+3","Gas Mos 2+3","Wtr Mos 2+3","N Months Mos 2+3","Oil Mos 2 thru 4","Gas Mos 2 thru 4","Wtr Mos 2 thru 4","N Months Mos 2 thru 4","Oil Mos 2 thru 7","Gas Mos 2 thru 7","Wtr Mos 2 thru 7","N Months Mos 2 thru 7","Oil Mos 2 thru 13","Gas Mos 2 thru 13","Wtr Mos 2 thru 13","N Months Mos 2 thru 13","Oil Mos 2 thru 25","Gas Mos 2 thru 25","Wtr Mos 2 thru 25","N Months Mos 2 thru 25","Oil Cum","Gas Cum","Wtr Cum","Oil Last 12 Mos","Gas Last 12 Mos","Wtr Last 12 Mos"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","1420800452832601H","ALLOCATED","42317389680000","QEP ENERGY CO","","NAIL RANCH","2601H","SEC:26 BLK:38 SRV:T&P RR CO ABS:751","SPRABERRY","T&P RR CO","38","26","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","14187","9662","14327","9431","ACTIVE","2014-02-19","2014-02-01","2021-05-31","362","","2874","2014-02-21","","2014-02-21","18650","14964","139220","29307","30326","213136","2","37001","40843","261935","3","53242","62128","342737","6","73264","84400","364438","12","95471","112186","386703","24","177767","208974","495052","9188","22433","713"
"O","PI","B7","OIL WELL","HORIZONTAL","142080046031N 02SS","ALLOCATED","42317403020000","QEP ENERGY CO","","UNIVERSITY 7-1627","N 02SS","SEC:27 BLK:7 SRV:UNIVERSITY LANDS ABS:U27","SPRABERRY","UNIVERSITY LANDS","7","27","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","17113","9685","17235","9492","ACTIVE","2016-03-07","2016-01-01","2021-05-31","843","","488","2016-03-07","","2016-03-07","31505","24215","18424","56080","45754","32647","2","75785","68697","44048","3","120852","126994","70101","6","176059","206388","103632","12","244373","303520","150339","24","368908","593277","248440","24011","101308","20385"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080046031N 03WB","ALLOCATED","42317398350000","QEP ENERGY CO","","UNIVERSITY 7-1627","N 03WB","SEC:27 BLK:7 SRV:UNIVERSITY LANDS ABS:U27","SPRABERRY","UNIVERSITY LANDS","7","27","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","17565","10194","17685","10041","ACTIVE","2014-11-10","2014-12-01","2021-05-31","476","","1687","2014-12-10","","2014-12-10","7181","13236","25268","15802","29120","55397","2","24137","54735","84312","3","44062","97375","152229","6","81952","198260","274458","12","124484","321032","375399","24","188094","650030","554174","11399","67255","24663"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080046031N 03WD","ALLOCATED","42317398480000","QEP ENERGY CO","","UNIVERSITY 7-1627","N 03WD","SEC:27 BLK:7 SRV:UNIVERSITY LANDS ABS:U27","SPRABERRY","UNIVERSITY LANDS","7","27","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","18361","10900","18475","10745","ACTIVE","2015-01-27","2015-01-01","2021-05-31","578","","1190","2015-02-08","","2015-02-08","10066","7979","18123","17222","19479","29565","2","22289","26876","36667","3","28599","32241","36667","6","41457","55169","36667","12","69026","124130","62023","24","146360","275581","147297","20740","51029","16114"
"O","PI","B7","OIL WELL","HORIZONTAL","142080046031N 04SS","ALLOCATED","42317402980000","QEP ENERGY CO","","UNIVERSITY 7-1627","N 04SS","SEC:27 BLK:7 SRV:UNIVERSITY LANDS ABS:U27","SPRABERRY","UNIVERSITY LANDS","7","27","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","17180","9634","17292","9475","ACTIVE","2016-03-07","2016-01-01","2021-05-31","570","","1913","2016-03-07","","2016-03-07","32534","25125","55328","49149","39206","111081","2","62472","54210","155779","3","92944","92340","257972","6","136891","159023","343465","12","200950","252877","388196","24","314772","556620","484964","21162","80525","17734"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080046031N 05WB","ALLOCATED","42317396180000","QEP ENERGY CO","","UNIVERSITY 7-1627","N 05WB","SEC:27 BLK:7 SRV:UNIVERSITY LANDS ABS:U27","SPRABERRY","UNIVERSITY LANDS","7","27","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","17562","10242","17682","10060","ACTIVE","2014-08-22","2014-08-01","2021-05-31","350","","1931","2014-09-08","","2014-09-08","10472","145","47139","20928","1178","88994","2","25431","1178","104686","3","34803","14465","130071","6","46463","57827","157179","12","71876","120709","208427","24","172887","477135","418211","7129","39831","33221"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080046031N 05WD","ALLOCATED","42317400220000","QEP ENERGY CO","","UNIVERSITY 7-1627","N 05WD","SEC:27 BLK:7 SRV:UNIVERSITY LANDS ABS:U27","SPRABERRY","UNIVERSITY LANDS","7","27","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","18331","10954","18445","10753","ACTIVE","2015-05-23","2015-05-01","2020-08-31","152","","151","2016-02-03","","2016-02-03","5930","2533","4744","13227","7281","10636","2","18577","11853","15003","3","31495","23851","25847","6","53304","50534","45690","12","86322","111198","85230","24","160122","271709","190825","13296","32086","16244"
"O","PI","B7","OIL WELL","HORIZONTAL","142080046031S 06SS","ALLOCATED","42317403110000","QEP ENERGY CO","","UNIVERSITY 7-1627","S 06SS","SEC:16 BLK:7 SRV:UNIVERSITY LANDS ABS:U22","SPRABERRY","UNIVERSITY LANDS","7","16","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","17026","9786","17149","9544","ACTIVE","2016-04-10","2016-03-01","2021-05-31","1522","","1515","2016-04-10","","2016-04-10","40159","21109","39980","76689","42139","76344","2","100507","57883","100051","3","162988","106513","160847","6","211101","164664","196291","12","280425","209517","228993","24","393343","411012","288342","19531","47029","9988"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080046031S 07WD","ALLOCATED","42317401340000","QEP ENERGY CO","","UNIVERSITY 7-1627","S 07WD","SEC:16 BLK:7 SRV:UNIVERSITY LANDS ABS:U22","SPRABERRY","UNIVERSITY LANDS","7","16","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","18450","10827","18565","10787","ACTIVE","2015-06-24","2015-06-01","2021-05-31","793","","988","2015-07-11","","2015-07-11","9467","10496","11366","14828","19547","16981","2","19347","27697","21048","3","29504","39822","29177","6","48501","74775","44405","12","74945","146205","80826","24","131653","249823","152503","8337","13268","8352"
"O","PI","B7","OIL WELL","HORIZONTAL","142080046031S 08SS","ALLOCATED","42317403120000","QEP ENERGY CO","","UNIVERSITY 7-1627","S 08SS","SEC:16 BLK:7 SRV:UNIVERSITY LANDS ABS:U22","SPRABERRY","UNIVERSITY LANDS","7","16","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","16955","9613","17097","9535","ACTIVE","2016-04-13","2016-03-01","2021-05-31","943","","1613","2016-04-13","","2016-04-13","24879","21355","42566","47516","42623","81292","2","62279","58543","106546","3","102650","106057","172534","6","146342","171183","220118","12","212215","230154","264554","24","326312","446866","343026","23390","59451","10591"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080046031S 10SS","ALLOCATED","42317403130000","QEP ENERGY CO","","UNIVERSITY 7-1627","S 10SS","SEC:16 BLK:7 SRV:UNIVERSITY LANDS ABS:U22","SPRABERRY","UNIVERSITY LANDS","7","16","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","17018","9638","17135","9555","ACTIVE","2016-04-13","2016-04-01","2021-05-31","887","","1911","2016-04-20","","2016-04-20","25134","21580","54151","40541","37666","87355","2","55419","53191","119438","3","91345","96836","184564","6","140263","155201","239017","12","198626","232443","300297","24","316345","479512","399716","24648","76097","15098"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080046031S 12SS","ALLOCATED","42317403140100","QEP ENERGY CO","","UNIVERSITY 7-1627","S 12SS","SEC:16 BLK:7 SRV:UNIVERSITY LANDS ABS:U22","SPRABERRY","UNIVERSITY LANDS","7","16","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","17103","9678","17224","9537","ACTIVE","2016-04-13","2016-04-01","2021-05-31","805","","1985","2016-04-19","","2016-04-19","22810","18512","56248","36797","32332","90737","2","50311","45690","124060","3","82662","82192","190346","6","127285","131185","240339","12","185089","196779","282290","24","279882","261900","361933","19931","15582","11405"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080046031S 14SS","ALLOCATED","42317403730000","QEP ENERGY CO","","UNIVERSITY 7-1627","S 14SS","SEC:16 BLK:7 SRV:UNIVERSITY LANDS ABS:U22","SPRABERRY","UNIVERSITY LANDS","7","16","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","16986","9713","17102","9557","ACTIVE","2016-06-13","2016-06-01","2021-05-31","1266","","1205","2016-06-28","","2016-06-28","21264","21272","20242","39388","41513","37356","2","54025","58727","51042","3","87846","100236","81818","6","123175","137026","106779","12","167170","186896","116857","24","253120","336019","189811","17490","42697","13648"
"O","PI","B7","OIL WELL","HORIZONTAL","142080046031S 16SS","ALLOCATED","42317403670000","QEP ENERGY CO","","UNIVERSITY 7-1627","S 16SS","SEC:16 BLK:7 SRV:UNIVERSITY LANDS ABS:U22","SPRABERRY","UNIVERSITY LANDS","7","16","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","16789","9668","16962","9381","ACTIVE","2016-06-23","2016-06-01","2021-05-31","895","","1927","2016-06-23","","2016-06-23","15033","21040","32361","27774","39604","60981","2","37993","54199","85096","3","61159","84185","147117","6","87414","114508","230697","12","134278","198764","328278","24","230272","410113","433326","22982","65234","28116"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080046308S 03WB","ALLOCATED","42317394640000","QEP ENERGY CO","","UNIVERSITY 7-2730 AL1","S 03WB","SEC:27 BLK:7 SRV:UNIVERSITY LANDS ABS:U27","SPRABERRY","UNIVERSITY LANDS","7","27","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","18772","10352","18890","10089","ACTIVE","2014-07-31","2014-07-01","2021-05-31","369","","1899","2014-08-25","","2014-08-25","7937","501","40879","15593","2246","78201","2","20983","52988","102648","3","27157","77985","122912","6","44705","147398","129381","12","65551","235659","175372","24","113677","571529","324357","9703","95563","15143"
"O","PI","B7","OIL WELL","HORIZONTAL","142080046681N 10SS","ALLOCATED","42317400510000","QEP ENERGY CO","","MABEE Y UL","N 10SS","SEC:8 BLK:39 SRV:G&MMB&A ABS:370","SPRABERRY","G&MMB&A","39","8","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","20132","9573","20253","9462","ACTIVE","2015-05-18","2015-04-01","2021-05-31","954","","1857","2015-05-18","","2015-05-18","22749","20249","","49150","46913","","2","68060","71229","","3","118395","142552","","6","181254","217418","","12","279613","324491","16042","24","502768","549315","350738","54074","59016","114197"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080046681N 10WB","ALLOCATED","42317400120000","QEP ENERGY CO","","MABEE Y UL","N 10WB","SEC:8 BLK:39 SRV:G&MMB&A ABS:370","SPRABERRY","G&MMB&A","39","8","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","20711","10158","20825","9962","ACTIVE","2015-04-25","2015-04-01","2021-05-31","952","","2474","2015-05-12","","2015-05-12","25444","27890","","47914","56764","","2","65521","82505","","3","102320","171022","","6","136842","237691","","12","206313","456151","42155","24","313386","1042244","193008","11641","120279","16015"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080046681N 10WD","ALLOCATED","42317399870000","QEP ENERGY CO","","MABEE Y UL","N 10WD","SEC:8 BLK:39 SRV:G&MMB&A ABS:370","SPRABERRY","G&MMB&A","39","8","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","21461","10896","21575","10708","ACTIVE","2015-04-30","2015-04-01","2021-05-31","844","","2136","2015-05-11","","2015-05-11","24328","30389","","41458","55124","","2","55686","76806","","3","86397","155176","","6","124137","234756","","12","169969","362077","20395","24","259162","647398","167817","19656","58762","37197"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080047337S 05WB","ALLOCATED","42317397610000","QEP ENERGY CO","","UNIVERSITY 7-2730 AL4","S 05WB","SEC:27 BLK:7 SRV:UNIVERSITY LANDS ABS:U27","SPRABERRY","UNIVERSITY LANDS","7","27","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","18725","10252","18840","10082","ACTIVE","2014-11-30","2014-11-01","2021-05-31","464","","2079","2014-12-20","","2014-12-20","9700","12614","43489","16485","29432","73467","2","21343","42659","94572","3","28419","76881","124449","6","55808","165644","215221","12","86089","316536","225885","24","159170","660879","358394","13841","90749","36846"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080047382S 10MS","ALLOCATED","42317402830000","QEP ENERGY CO","","MABEE KJ WEST","S 10MS","SEC:1 BLK:HA SRV:MOORE H A ABS:916","SPRABERRY","MOORE H A","HA","1","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","18077","9047","18199","8723","ACTIVE","2016-01-05","2016-01-01","2021-05-31","492","","1253","2016-02-28","","2016-02-28","14912","14069","37953","27102","29173","59665","2","36944","42664","77188","3","60147","71060","115354","6","97470","104750","162013","12","145628","157801","208498","24","257009","352592","614043","23524","31914","129637"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080047382S 13MS","ALLOCATED","42317402840000","QEP ENERGY CO","","MABEE KJ WEST","S 13MS","SEC:1 BLK:HA SRV:MOORE H A ABS:916","SPRABERRY","MOORE H A","HA","1","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","18057","9052","18173","8728","ACTIVE","2016-01-02","2016-01-01","2021-05-31","503","","1328","2016-02-17","","2016-02-17","15236","21341","40225","27673","42996","63239","2","37724","62350","81811","3","59754","108924","123158","6","87383","186236","178235","12","116888","275197","264128","24","189552","505939","652244","14325","55942","89434"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080047382S 15MS","ALLOCATED","42317402850000","QEP ENERGY CO","","MABEE KJ WEST","S 15MS","SEC:1 BLK:HA SRV:MOORE H A ABS:916","SPRABERRY","MOORE H A","HA","1","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","18121","9087","18246","8745","ACTIVE","2015-12-28","2015-12-01","2021-05-31","488","","1563","2016-02-22","","2016-02-22","15997","14200","47962","30778","31623","95304","2","42843","49709","122380","3","67583","92135","179356","6","99039","157240","265502","12","135374","240830","401499","24","210465","446498","751062","16754","54000","72160"
