"Map Symbol","Source","Well Type","Well Type - Name","Hole Direction","Production ID","Entity Type","Primary API","Operator Name","Original Operator Name","Lease Name","Well Num","Location","Field Name","TX Survey","TX Blk","TX Sec","County Name","State","Prod Zone Name","Play Name","Play Type","Lower Perf","Upper Perf","TD","TVD","Status Name","Comp Date","First Prod Date","Last Prod Date","Max IP - Oil","Max IP - Gas","Max IP - Water","Max IP Date - Oil","Max IP Date - Gas","Max IP Date - Water","Oil Mo 2","Gas Mo 2","Wtr Mo 2","Oil Mos 2+3","Gas Mos 2+3","Wtr Mos 2+3","N Months Mos 2+3","Oil Mos 2 thru 4","Gas Mos 2 thru 4","Wtr Mos 2 thru 4","N Months Mos 2 thru 4","Oil Mos 2 thru 7","Gas Mos 2 thru 7","Wtr Mos 2 thru 7","N Months Mos 2 thru 7","Oil Mos 2 thru 13","Gas Mos 2 thru 13","Wtr Mos 2 thru 13","N Months Mos 2 thru 13","Oil Mos 2 thru 25","Gas Mos 2 thru 25","Wtr Mos 2 thru 25","N Months Mos 2 thru 25","Oil Cum","Gas Cum","Wtr Cum","Oil Last 12 Mos","Gas Last 12 Mos","Wtr Last 12 Mos"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080047652S 03WD","ALLOCATED","42317400360000","QEP ENERGY CO","","UNIVERSITY 7-2730 AL2","S 03WD","SEC:27 BLK:7 SRV:UNIVERSITY LANDS ABS:U27","SPRABERRY","UNIVERSITY LANDS","7","27","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","19399","10900","19563","10822","ACTIVE","2015-05-02","2015-05-01","2021-05-31","542","","1410","2015-05-14","","2015-05-14","10224","19086","22487","17776","37658","36074","2","22822","47808","44123","3","36873","69982","62725","6","63528","125111","62725","12","100395","209200","62725","24","178975","465679","165879","12530","64708","7326"
"O","PI","B7","OIL WELL","HORIZONTAL","142080047768N 02SA","ALLOCATED","42317405220100","QEP ENERGY CO","","UNIVERSITY 7-0213","N 02SA","SEC:16 BLK:7 SRV:UNIVERSITY LANDS ABS:U22","SPRABERRY","UNIVERSITY LANDS","7","16","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","19623","9582","19739","9261","ACTIVE","2017-04-01","2017-02-01","2021-05-31","1437","","1353","2017-04-01","","2017-04-01","32016","24948","30126","60043","43945","55722","2","79077","60080","72586","3","123370","105902","111879","6","180990","193490","163096","12","256071","345866","230086","24","334526","465613","293011","27706","34514","20220"
"O","PI","B7","OIL WELL","HORIZONTAL","142080047768N 03SC","ALLOCATED","42317405230000","QEP ENERGY CO","","UNIVERSITY 7-0213","N 03SC","SEC:16 BLK:7 SRV:UNIVERSITY LANDS ABS:U22","SPRABERRY","UNIVERSITY LANDS","7","16","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","19691","9642","19851","9431","ACTIVE","2017-04-04","2017-03-01","2021-05-31","1602","","1176","2017-04-04","","2017-04-04","38229","18321","28057","66470","36347","48176","2","89150","52231","64346","3","144300","96567","102446","6","213782","161252","145698","12","293372","253334","174975","24","422787","501759","215131","50162","110040","12480"
"O","PI","B7","OIL WELL","HORIZONTAL","142080047768N 04SA","ALLOCATED","42317405240100","QEP ENERGY CO","","UNIVERSITY 7-0213","N 04SA","SEC:16 BLK:7 SRV:UNIVERSITY LANDS ABS:U22","SPRABERRY","UNIVERSITY LANDS","7","16","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","19475","9577","19590","9271","ACTIVE","2017-04-01","2017-02-01","2021-05-31","1392","","1327","2017-04-01","","2017-04-01","37564","27487","48008","64061","46871","81886","2","81421","62041","103400","3","121484","105611","152497","6","170990","189943","209027","12","224777","328088","251615","24","287878","606044","299492","23462","120337","23712"
"O","PI","B7","OIL WELL","HORIZONTAL","142080047768N 05SC","ALLOCATED","42317405260000","QEP ENERGY CO","","UNIVERSITY 7-0213","N 05SC","SEC:16 BLK:7 SRV:UNIVERSITY LANDS ABS:U22","SPRABERRY","UNIVERSITY LANDS","7","16","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","19637","9760","19755","9405","ACTIVE","2017-02-20","2017-02-01","2021-05-31","1977","","2528","2017-02-20","","2017-02-20","34464","18287","39733","70652","40177","77302","2","96041","57046","101017","3","154828","104775","155148","6","228603","193662","217796","12","314199","341728","267912","24","436987","617878","342479","43670","104767","23707"
"O","PI","B7","OIL WELL","HORIZONTAL","142080047768N 06SA","ALLOCATED","42317405250000","QEP ENERGY CO","","UNIVERSITY 7-0213","N 06SA","SEC:16 BLK:7 SRV:UNIVERSITY LANDS ABS:U22","SPRABERRY","UNIVERSITY LANDS","7","16","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","19481","9520","19582","9214","ACTIVE","2017-03-24","2017-02-01","2021-05-31","1519","","1507","2017-03-24","","2017-03-24","37563","28207","36137","60518","44906","56031","2","78218","59999","69825","3","119516","102013","101955","6","173578","176682","143753","12","243728","301002","196748","24","333108","468544","289613","32435","54624","41669"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080047768N 08MS","ALLOCATED","42317401960000","QEP ENERGY CO","","UNIVERSITY 7-0213","N 08MS","SEC:13 BLK:7 SRV:UNIVERSITY LANDS ABS:U19","SPRABERRY","UNIVERSITY LANDS","7","13","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","18898","8873","19305","8702","ACTIVE","2015-11-19","2015-11-01","2021-05-31","972","","1750","2016-01-01","","2016-01-01","21577","16759","34535","46904","41721","69999","2","67123","64739","94280","3","113170","123070","137806","6","176654","204734","188449","12","216849","229359","237318","24","330151","305408","372698","6732","15179","33182"
"O","PI","B7","OIL WELL","HORIZONTAL","142080047768N 08SS","ALLOCATED","42317401970000","QEP ENERGY CO","","UNIVERSITY 7-0213","N 08SS","SEC:13 BLK:7 SRV:UNIVERSITY LANDS ABS:U19","SPRABERRY","UNIVERSITY LANDS","7","13","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","","","19711","9425","ACTIVE","2015-12-08","2015-11-01","2021-05-31","1519","","1384","2015-12-08","","2015-12-08","36084","24291","32488","70835","50432","63767","2","94970","71456","83086","3","154283","126599","130536","6","232045","219205","194148","12","276240","272185","231014","24","449298","435471","351770","42415","39427","32932"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080047848S 03SS","ALLOCATED","42317403920000","QEP ENERGY CO","","UNIVERSITY 7-1726","S 03SS","SEC:17 BLK:7 SRV:UNIVERSITY LANDS ABS:U23","SPRABERRY","UNIVERSITY LANDS","7","17","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","16989","9628","17109","9501","ACTIVE","2016-06-16","2016-06-01","2021-05-31","1353","","1647","2016-06-28","","2016-06-28","23320","16308","24498","38427","26752","38119","2","46169","35747","42770","3","69023","67193","60229","6","98910","110828","98825","12","142186","159394","156450","24","228158","257345","215631","19554","17989","12985"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080047848S 04SS","ALLOCATED","42317403930000","QEP ENERGY CO","","UNIVERSITY 7-1726","S 04SS","SEC:17 BLK:7 SRV:UNIVERSITY LANDS ABS:U23","SPRABERRY","UNIVERSITY LANDS","7","17","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","16789","9644","16910","9342","ACTIVE","2016-06-16","2016-06-01","2021-05-31","1059","","902","2016-07-16","","2016-07-16","15536","14118","10885","25597","27332","16922","2","37239","34445","27424","3","70836","59667","56062","6","108735","105285","88941","12","145826","177050","135589","24","211842","366283","173273","15805","62856","9141"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080047848S 06SS","ALLOCATED","42317404150000","QEP ENERGY CO","","UNIVERSITY 7-1726","S 06SS","SEC:17 BLK:7 SRV:UNIVERSITY LANDS ABS:U23","SPRABERRY","UNIVERSITY LANDS","7","17","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","16961","9633","17078","9500","ACTIVE","2016-08-13","2016-08-01","2021-05-31","1126","","1569","2016-08-23","","2016-08-23","25294","20689","27815","43858","38379","48239","2","59572","54990","64533","3","96970","102057","98248","6","139078","184283","125008","12","181312","268684","146370","24","257558","428521","201887","19332","61077","10300"
"O","PI","B7","OIL WELL","HORIZONTAL","142080047848S 07SS","ALLOCATED","42317404160000","QEP ENERGY CO","","UNIVERSITY 7-1726","S 07SS","SEC:17 BLK:7 SRV:UNIVERSITY LANDS ABS:U23","SPRABERRY","UNIVERSITY LANDS","7","17","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","16883","9475","17002","9360","ACTIVE","2016-09-10","2016-08-01","2021-05-31","909","","1157","2016-09-10","","2016-09-10","20553","18990","19533","34220","32164","32518","2","45788","44530","42878","3","73454","79018","65090","6","108391","133174","103766","12","149784","191452","160547","24","238007","395553","236938","27104","80611","20596"
"O","PI","B7","OIL WELL","HORIZONTAL","142080047848S 08SS","ALLOCATED","42317404170000","QEP ENERGY CO","","UNIVERSITY 7-1726","S 08SS","SEC:17 BLK:7 SRV:UNIVERSITY LANDS ABS:U23","SPRABERRY","UNIVERSITY LANDS","7","17","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","17056","9643","17173","9495","ACTIVE","2016-09-13","2016-08-01","2021-05-31","1074","","914","2016-09-13","","2016-09-13","22804","17011","18243","39322","31067","31476","2","53305","44270","42032","3","86687","80436","64006","6","127134","123322","85087","12","175858","186643","107019","24","249955","296243","147526","17993","27578","8280"
"O","PI","B7","OIL WELL","HORIZONTAL","142080047848S 11SS","ALLOCATED","42317404200000","QEP ENERGY CO","","UNIVERSITY 7-1726","S 11SS","SEC:17 BLK:7 SRV:UNIVERSITY LANDS ABS:U23","SPRABERRY","UNIVERSITY LANDS","7","17","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","17082","9696","17202","9512","ACTIVE","2016-09-23","2016-09-01","2021-05-31","1378","","906","2016-09-23","","2016-09-23","22468","17995","13481","37039","31299","22212","2","48202","42451","28904","3","71758","69389","42934","6","105174","121798","61737","12","146593","173547","86657","24","220861","244395","243282","9992","3706","78780"
"O","PI","B7","OIL WELL","HORIZONTAL","142080047848S 13SS","ALLOCATED","42317404210000","QEP ENERGY CO","","UNIVERSITY 7-1726","S 13SS","SEC:17 BLK:7 SRV:UNIVERSITY LANDS ABS:U23","SPRABERRY","UNIVERSITY LANDS","7","17","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","16867","9560","16987","9359","ACTIVE","2016-10-01","2016-09-01","2021-05-31","885","","894","2016-10-01","","2016-10-01","20887","17523","18780","36048","33914","30909","2","47699","48142","39065","3","71037","84390","52002","6","97504","115300","65596","12","134227","158929","89992","24","203953","242879","192683","14891","12244","35940"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080048137N 02LD","ALLOCATED","42317402280000","QEP ENERGY CO","","MABEE C NORTH","N 02LD","SEC:7 BLK:39 SRV:G&MMB&A ABS:369","SPRABERRY","G&MMB&A","39","7","MARTIN","TEXAS","SPRABERRY","PERMIAN CONVENTIONAL","CONVENTIONAL ONSHORE (CONV ONSHR)","15751","8344","15873","8149","ACTIVE","2015-09-25","2016-10-01","2021-05-31","","","","","","","1625","3701","1828","3066","6578","3679","2","4436","9359","5692","3","7751","17188","10583","6","13716","36876","19610","12","23304","82374","34927","24","46368","195925","72246","8243","28711","13147"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080048137N 02SS","ALLOCATED","42317392460000","QEP ENERGY CO","","MABEE C NORTH","N 02SS","SEC:7 BLK:39 SRV:G&MMB&A ABS:369","SPRABERRY","G&MMB&A","39","7","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","16138","9547","16257","9411","ACTIVE","2014-10-19","2016-10-01","2021-05-31","","","","","","","2472","3924","1395","4778","7429","2699","2","7098","11373","4013","3","13250","20795","8396","6","27356","44066","19685","12","57682","113309","39093","24","108471","303683","81794","12758","62316","14697"
"O","PI","B7","OIL WELL","HORIZONTAL","142080048137N 04MS","ALLOCATED","42317402190000","QEP ENERGY CO","","MABEE C NORTH","N 04MS","SEC:7 BLK:39 SRV:G&MMB&A ABS:369","SPRABERRY","G&MMB&A","39","7","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","16302","8850","16424","8690","ACTIVE","2015-11-29","2016-10-01","2021-05-31","","","","","","","2789","4739","2232","5341","8889","4274","2","7857","13466","6287","3","15110","25022","12246","6","30678","48788","25004","12","53282","85648","41791","24","96704","163285","68955","13536","26092","7262"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080048137N 06SS","ALLOCATED","42317405140000","QEP ENERGY CO","","MABEE C NORTH","N 06SS","SEC:7 BLK:39 SRV:G&MMB&A ABS:369","SPRABERRY","G&MMB&A","39","7","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","16859","9487","16980","9260","ACTIVE","2016-10-23","2016-10-01","2021-05-31","400","","1389","2016-11-01","","2016-11-01","7734","8259","17807","16648","20535","36510","2","24166","31916","51546","3","40054","68999","83333","6","66614","148676","126866","12","103529","258033","161026","24","139692","415579","200411","10593","48016","10989"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080048137N 08MS","ALLOCATED","42317402180000","QEP ENERGY CO","","MABEE C NORTH","N 08MS","SEC:7 BLK:39 SRV:G&MMB&A ABS:369","SPRABERRY","G&MMB&A","39","7","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","17078","9026","17200","8694","ACTIVE","2015-10-07","2016-10-01","2021-05-31","","","","","","","4656","2635","3291","8913","4940","6299","2","13105","7480","9262","3","26368","18032","19944","6","61129","59693","49295","12","129534","178958","100763","24","208743","469835","160901","19028","100984","17659"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080048137N 08SS","ALLOCATED","42317405150100","QEP ENERGY CO","","MABEE C NORTH","N 08SS","SEC:7 BLK:39 SRV:G&MMB&A ABS:369","SPRABERRY","G&MMB&A","39","7","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","16787","9419","16907","9274","ACTIVE","2016-10-23","2016-10-01","2021-05-31","388","","1481","2016-11-01","","2016-11-01","7388","7754","27274","16904","20920","60578","2","23947","31089","85199","3","39621","64780","136898","6","62535","126560","210739","12","86616","239984","267855","24","122452","461346","317768","11181","71241","14910"
"O","PI","B7","OIL WELL","HORIZONTAL","142080048137N 12MS","ALLOCATED","42317402140000","QEP ENERGY CO","","MABEE C NORTH","N 12MS","SEC:7 BLK:39 SRV:G&MMB&A ABS:369","SPRABERRY","G&MMB&A","39","7","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","16536","8943","16657","8710","ACTIVE","2016-02-24","2016-10-01","2021-05-31","","","","","","","5531","9186","4647","11583","17645","10280","2","18598","27106","17294","3","35613","53823","34308","6","65794","118016","62595","12","111784","246445","96678","24","188703","697117","182240","25494","184224","39627"
"O","PI","B7","OIL WELL","HORIZONTAL","142080048137N 15MS","ALLOCATED","42317399540000","QEP ENERGY CO","","MABEE C NORTH","N 15MS","SEC:7 BLK:39 SRV:G&MMB&A ABS:369","SPRABERRY","G&MMB&A","39","7","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","16497","8911","16620","8730","ACTIVE","2015-01-10","2016-10-01","2021-05-31","","","","","","","1270","1788","2396","2474","3409","4666","2","3704","5262","6985","3","7433","11860","17485","6","19184","37312","50180","12","52452","97270","107747","24","131191","233520","256117","25884","70168","44134"
"O","PI","B7","OIL WELL","HORIZONTAL","142080048137S 04SS","ALLOCATED","42317401500000","QEP ENERGY CO","","MABEE C NORTH","S 04SS","SEC:8 BLK:39 SRV:G&MMB&A ABS:370","SPRABERRY","G&MMB&A","39","8","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","16883","9741","17005","9471","ACTIVE","2015-11-25","2016-10-01","2021-05-31","","","","","","","3117","5143","2078","6070","9808","4046","2","9088","15142","6058","3","16731","26079","13411","6","30805","47275","30965","12","50811","105867","49155","24","87805","229581","80350","10193","36531","11570"
"O","PI","B7","OIL WELL","HORIZONTAL","142080048137S 07SS","ALLOCATED","42317401510000","QEP ENERGY CO","","MABEE C NORTH","S 07SS","SEC:8 BLK:39 SRV:G&MMB&A ABS:370","SPRABERRY","G&MMB&A","39","8","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","16897","9645","17020","9459","ACTIVE","2015-11-27","2016-10-01","2021-05-31","","","","","","","3464","4979","1866","6635","9344","3570","2","9764","14163","5246","3","17484","22733","13514","6","31379","39806","36309","12","51879","111039","58769","24","84234","304705","92857","9409","70709","13336"
